V1,V2,V3,start,duration,V6,V7,tier,V9,V10,end,id,source
SPEAKER,MPILab_0001_258640_01_S_Audio,1,0.511,8.481,<NA>,<NA>,SPEECH,<NA>,<NA>,8.991999999999999,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,0.592,1.971,<NA>,<NA>,FEM,<NA>,<NA>,2.563,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,1.51,2.501,<NA>,<NA>,CHI,<NA>,<NA>,4.011,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,3.068,1.63,<NA>,<NA>,KCHI,<NA>,<NA>,4.698,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,4.939,3.925,<NA>,<NA>,FEM,<NA>,<NA>,8.864,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,10.454,3.441,<NA>,<NA>,SPEECH,<NA>,<NA>,13.895,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,10.49,1.08,<NA>,<NA>,FEM,<NA>,<NA>,11.57,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,11.942,1.821,<NA>,<NA>,FEM,<NA>,<NA>,13.763,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,13.088,0.231,<NA>,<NA>,MAL,<NA>,<NA>,13.318999999999999,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,15.012,1.168,<NA>,<NA>,SPEECH,<NA>,<NA>,16.18,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,15.037,1.131,<NA>,<NA>,FEM,<NA>,<NA>,16.168,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,16.581,0.896,<NA>,<NA>,FEM,<NA>,<NA>,17.477,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,16.586,0.911,<NA>,<NA>,SPEECH,<NA>,<NA>,17.497,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,18.973,2.413,<NA>,<NA>,SPEECH,<NA>,<NA>,21.386,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,19.013,0.498,<NA>,<NA>,KCHI,<NA>,<NA>,19.511000000000003,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,19.519,1.877,<NA>,<NA>,FEM,<NA>,<NA>,21.395999999999997,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,21.556,1.853,<NA>,<NA>,SPEECH,<NA>,<NA>,23.409000000000002,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,21.565,1.836,<NA>,<NA>,FEM,<NA>,<NA>,23.401,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,21.929,0.395,<NA>,<NA>,MAL,<NA>,<NA>,22.323999999999998,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,23.861,2.341,<NA>,<NA>,FEM,<NA>,<NA>,26.202,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,23.87,2.584,<NA>,<NA>,SPEECH,<NA>,<NA>,26.454,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,29.572,3.302,<NA>,<NA>,SPEECH,<NA>,<NA>,32.874,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,29.771,3.1,<NA>,<NA>,FEM,<NA>,<NA>,32.871,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,33.549,2.173,<NA>,<NA>,SPEECH,<NA>,<NA>,35.722,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,33.564,1.947,<NA>,<NA>,FEM,<NA>,<NA>,35.511,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,36.433,2.206,<NA>,<NA>,SPEECH,<NA>,<NA>,38.639,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,36.438,0.596,<NA>,<NA>,FEM,<NA>,<NA>,37.034,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,37.225,1.39,<NA>,<NA>,FEM,<NA>,<NA>,38.615,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,38.745,1.424,<NA>,<NA>,FEM,<NA>,<NA>,40.169,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,38.745,1.519,<NA>,<NA>,SPEECH,<NA>,<NA>,40.263999999999996,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,40.39,1.704,<NA>,<NA>,SPEECH,<NA>,<NA>,42.094,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,40.492,1.019,<NA>,<NA>,MAL,<NA>,<NA>,41.510999999999996,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,40.679,0.862,<NA>,<NA>,FEM,<NA>,<NA>,41.541000000000004,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,41.492,0.496,<NA>,<NA>,KCHI,<NA>,<NA>,41.988,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,42.279,8.743,<NA>,<NA>,SPEECH,<NA>,<NA>,51.022000000000006,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,42.334,8.677,<NA>,<NA>,FEM,<NA>,<NA>,51.011,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,42.992,0.182,<NA>,<NA>,KCHI,<NA>,<NA>,43.174,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,45.492,0.218,<NA>,<NA>,KCHI,<NA>,<NA>,45.71,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,51.227,6.674,<NA>,<NA>,FEM,<NA>,<NA>,57.900999999999996,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,51.234,6.674,<NA>,<NA>,SPEECH,<NA>,<NA>,57.908,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,58.011,4.46,<NA>,<NA>,FEM,<NA>,<NA>,62.471000000000004,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,58.011,5.677,<NA>,<NA>,SPEECH,<NA>,<NA>,63.688,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,60.51,1.261,<NA>,<NA>,MAL,<NA>,<NA>,61.771,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,62.669,0.974,<NA>,<NA>,FEM,<NA>,<NA>,63.642999999999994,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,63.791,9.442,<NA>,<NA>,SPEECH,<NA>,<NA>,73.233,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,63.816,1.195,<NA>,<NA>,FEM,<NA>,<NA>,65.011,258640,Audio
