V1,V2,V3,start,duration,V6,V7,tier,V9,V10,end,id,source,run
SPEAKER,MPILab_0001_258640_01_S_Audio,1,0.01,9.133,<NA>,<NA>,SPEECH,<NA>,<NA>,9.142999999999999,258640,Audio,run2
SPEAKER,MPILab_0001_258640_01_S_Audio,1,0.511,2.006,<NA>,<NA>,FEM,<NA>,<NA>,2.517,258640,Audio,run2
SPEAKER,MPILab_0001_258640_01_S_Audio,1,1.51,2.501,<NA>,<NA>,CHI,<NA>,<NA>,4.011,258640,Audio,run2
SPEAKER,MPILab_0001_258640_01_S_Audio,1,3.491,1.2,<NA>,<NA>,KCHI,<NA>,<NA>,4.691,258640,Audio,run2
SPEAKER,MPILab_0001_258640_01_S_Audio,1,4.909,4.038,<NA>,<NA>,FEM,<NA>,<NA>,8.947,258640,Audio,run2
SPEAKER,MPILab_0001_258640_01_S_Audio,1,10.41,3.583,<NA>,<NA>,SPEECH,<NA>,<NA>,13.993,258640,Audio,run2
SPEAKER,MPILab_0001_258640_01_S_Audio,1,10.481,3.297,<NA>,<NA>,FEM,<NA>,<NA>,13.778,258640,Audio,run2
SPEAKER,MPILab_0001_258640_01_S_Audio,1,12.992,0.523,<NA>,<NA>,MAL,<NA>,<NA>,13.515,258640,Audio,run2
SPEAKER,MPILab_0001_258640_01_S_Audio,1,14.992,2.519,<NA>,<NA>,SPEECH,<NA>,<NA>,17.511000000000003,258640,Audio,run2
SPEAKER,MPILab_0001_258640_01_S_Audio,1,15.01,2.482,<NA>,<NA>,FEM,<NA>,<NA>,17.492,258640,Audio,run2
SPEAKER,MPILab_0001_258640_01_S_Audio,1,18.952,2.45,<NA>,<NA>,SPEECH,<NA>,<NA>,21.402,258640,Audio,run2
SPEAKER,MPILab_0001_258640_01_S_Audio,1,19.015,0.496,<NA>,<NA>,KCHI,<NA>,<NA>,19.511,258640,Audio,run2
SPEAKER,MPILab_0001_258640_01_S_Audio,1,19.518,1.895,<NA>,<NA>,FEM,<NA>,<NA>,21.413,258640,Audio,run2
SPEAKER,MPILab_0001_258640_01_S_Audio,1,21.511,2.103,<NA>,<NA>,SPEECH,<NA>,<NA>,23.614,258640,Audio,run2
